PrixActifSousJacent,PrixExercice,DureeExpiration,Volatilite,TauxInteretSansRisque
313.56413906056076,573.1131326173705,27,0.2823890507870792,0.0452976242415173
489.4868203899744,187.7495882704098,22,0.4715452487518449,0.032744842021890805
79.04891964238524,152.46612102166307,55,0.29130616763648,0.012757249475009199
351.6140453979953,392.2267604195634,39,0.42664581406891045,0.012553811011467042
92.7744663645698,391.7187334643816,43,0.40244001529361617,0.03265299900627519
478.9844172605916,579.5022078367736,54,0.3136717837577526,0.021093132248706126
339.2666274786965,149.19250399221136,60,0.43151639322556656,0.025514130269348095
212.87194460224967,277.2730203370823,22,0.1952757092111063,0.02370760959973049
174.12657983774534,205.53932352188014,30,0.42330567025099397,0.01706758285302751
195.90153024278277,448.19665482699406,30,0.20740628759578242,0.010212370701961052
219.82850547049327,352.2440579507019,36,0.4545390293757957,0.033439324438955524
423.0167863740315,518.6536144153282,22,0.4375913584192066,0.03203081096806253
118.25445602656912,569.3282902893221,23,0.13090824233656884,0.04314415293892325
311.4915927165927,416.71477636304354,41,0.47949780599751324,0.026089296917082387
143.63656533981833,546.1052514802112,50,0.3041469606329634,0.022417163683387885
476.1373857422863,413.94976018492815,56,0.1932344500249923,0.025236949411062394
286.27414040935344,349.4601965716941,50,0.13230710743561197,0.03450252303543092
179.6601253777911,535.234728568613,27,0.258497579585911,0.029464361563700518
436.5429719097132,232.26196652534884,46,0.45117982061847195,0.013364332679707306
265.33287185083987,570.8823252351434,51,0.4034228446618464,0.03684849668346247
410.133981964053,443.0625967725742,30,0.4062258839442189,0.022698110692780032
350.64500425912973,486.0758111416003,30,0.4688728390230652,0.03426814027567998
246.58381052370854,376.21522603724975,58,0.22189182690703732,0.018253603997399833
70.21780416742105,45.34444663701344,44,0.4911554320268001,0.025487135961163747
429.45838929603485,325.0112748408959,17,0.3646246171913389,0.013928778940474049
261.4958759434826,330.9737693041482,21,0.22380381034639474,0.011504028117550918
145.85402876290462,218.79528293532567,26,0.4747792834801533,0.038352554605635664
54.96067275197185,355.77235986610657,46,0.19012839421458658,0.04457414712283768
126.50470202794827,472.1776857298144,36,0.2935904755696084,0.019488964971514623
379.74980848234003,494.7210590497044,56,0.2570634456264687,0.04393912568278892
441.7982825644962,132.10457299304267,54,0.1065709840580055,0.014609361389574294
467.6400614636264,392.4880614265898,55,0.2243227419550829,0.04566082761216715
339.1148696186495,405.8756624085402,21,0.22157369448802244,0.04562826366279441
317.53914177398036,54.024053225280625,26,0.33605294583693746,0.026844540551153234
382.6870523971616,107.65098428638227,15,0.49646364725606185,0.023601826465320955
144.92612195291275,569.6359092282662,35,0.10636139228831915,0.01970683899538774
97.27256045549814,397.46215167960173,31,0.4619582971345991,0.03585398507959762
148.4568852420319,463.459900491571,30,0.1501557157884369,0.019062228707888706
55.801485410969704,254.09819643363073,32,0.4880433917030197,0.014084807217959669
